,power sensor (delta),power sensor (theta),power sensor (alpha),power sensor (beta),power sensor (gamma),power source (delta),power source (theta),power source (alpha),power source (beta),power source (gamma),wpli source (delta),wpli source (theta),wpli source (alpha),wpli source (beta),wpli source (gamma),correlation source (delta),correlation source (theta),correlation source (alpha),correlation source (beta),correlation source (gamma),correlation sensor (delta),correlation sensor (theta),correlation sensor (alpha),correlation sensor (beta),correlation sensor (gamma),wpli sensor (delta),wpli sensor (theta),wpli sensor (alpha),wpli sensor (beta),wpli sensor (gamma)
51,1.0,10.0,0.1,1.0,10.0,10.0,1.0,1.0,10.0,10.0,0.001,0.01,0.001,0.001,10.0,0.1,0.1,0.001,0.001,1.0,0.001,0.001,0.001,0.001,0.001,1.0,0.001,1.0,1.0,1.0
52,1.0,0.1,0.1,10.0,10.0,10.0,10.0,0.01,0.1,1.0,0.01,0.001,0.01,0.001,0.001,0.01,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.001,0.01,0.01
53,1.0,0.01,10.0,10.0,10.0,10.0,10.0,10.0,0.01,10.0,10.0,0.01,0.001,0.001,0.01,0.01,0.01,0.001,0.01,10.0,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.01,0.01,1.0
54,10.0,1.0,0.1,10.0,0.01,10.0,1.0,0.1,0.01,0.01,0.01,0.001,1.0,0.1,0.001,0.01,0.1,0.001,0.001,0.01,0.001,1.0,0.01,0.001,0.001,1.0,0.001,0.001,1.0,0.01
55,10.0,0.1,0.01,10.0,10.0,1.0,1.0,0.001,1.0,10.0,10.0,0.01,0.1,0.1,0.01,10.0,0.1,0.001,0.001,0.01,0.001,0.01,0.001,0.001,0.01,1.0,0.001,1.0,1.0,1.0
56,0.1,0.1,1.0,1.0,10.0,10.0,10.0,1.0,1.0,0.01,0.1,10.0,0.01,0.1,0.001,0.1,0.1,0.001,0.01,0.1,1.0,0.01,0.01,0.001,0.001,0.001,1.0,0.001,0.01,1.0
57,0.1,0.001,0.1,10.0,0.1,10.0,1.0,10.0,1.0,0.1,0.01,0.001,0.001,0.001,0.01,0.1,0.01,0.001,0.001,0.01,0.01,1.0,0.01,0.01,0.001,0.001,0.001,1.0,0.001,1.0
58,10.0,0.1,0.1,0.01,0.001,10.0,10.0,1.0,10.0,0.1,0.001,0.01,1.0,0.001,0.001,0.1,0.1,0.001,0.01,0.1,0.001,1.0,1.0,1.0,0.001,1.0,0.001,0.001,0.001,1.0
59,0.001,0.1,0.1,10.0,0.001,10.0,10.0,10.0,0.01,0.01,0.01,0.01,0.01,0.001,0.001,0.1,0.1,0.001,0.001,0.01,0.001,0.01,0.001,1.0,0.001,1.0,1.0,0.001,0.001,1.0
60,1.0,0.1,1.0,10.0,10.0,10.0,10.0,0.001,0.01,10.0,0.001,0.01,0.1,1.0,10.0,0.001,0.01,0.001,0.01,0.001,0.01,0.001,0.001,0.001,0.001,1.0,1.0,0.01,0.001,1.0
